mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
0.72,"8 km WNW of Cobb, CA",1732751937530,1732754370406,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75091891,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75091891&format=geojson,,,,,automatic,0,8,nc,75091891,",nc75091891,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.0117,0.0,98.0,md,earthquake,"M 0.7 - 8 km WNW of Cobb, CA"
1.4,"17 km WNW of Tetlin, Alaska",1732751753405,1732751899997,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024f9gg3g7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024f9gg3g7&format=geojson,,,,,automatic,0,30,ak,024f9gg3g7,",ak024f9gg3g7,",",ak,",",origin,phase-data,",,,0.53,,ml,earthquake,"M 1.4 - 17 km WNW of Tetlin, Alaska"
1.5,"11 km WNW of Tatitlek, Alaska",1732751675692,1732751806997,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024f9gfua9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024f9gfua9&format=geojson,,,,,automatic,0,35,ak,024f9gfua9,",ak024f9gfua9,",",ak,",",origin,phase-data,",,,0.42,,ml,earthquake,"M 1.5 - 11 km WNW of Tatitlek, Alaska"
0.9,"8 km NW of Indian Springs, Nevada",1732751591519,1732755645715,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00888045,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00888045&format=geojson,,,,,reviewed,0,12,nn,00888045,",nn00888045,",",nn,",",origin,phase-data,",34.0,0.192,0.0949,143.07,ml,earthquake,"M 0.9 - 8 km NW of Indian Springs, Nevada"
1.1,"3 km NW of The Geysers, CA",1732751533340,1732764868661,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75091886,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75091886&format=geojson,,,,,automatic,0,19,nc,75091886,",nc75091886,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.00724,0.03,78.0,md,earthquake,"M 1.1 - 3 km NW of The Geysers, CA"
4.1,"150 km W of Puerto, Chile",1732750027577,1732751033040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000null,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000null&format=geojson,,,,,reviewed,0,259,us,7000null,",us7000null,",",us,",",origin,phase-data,",18.0,1.383,0.61,192.0,mb,earthquake,"M 4.1 - 150 km W of Puerto, Chile"
-0.37,"64 km ENE of Pedro Bay, Alaska",1732749074750,1732781686020,,https://earthquake.usgs.gov/earthquakes/eventpage/av93381653,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av93381653&format=geojson,,,,,reviewed,0,0,av,93381653,",av93381653,",",av,",",origin,phase-data,",6.0,0.01836,0.07,88.0,ml,earthquake,"M -0.4 - 64 km ENE of Pedro Bay, Alaska"
0.72,"10 km WNW of Cobb, CA",1732748856520,1732748954789,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75091881,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75091881&format=geojson,,,,,automatic,0,8,nc,75091881,",nc75091881,",",nc,",",nearby-cities,origin,phase-data,",15.0,0.007027,0.01,113.0,md,earthquake,"M 0.7 - 10 km WNW of Cobb, CA"
0.75,"7 km NNW of The Geysers, CA",1732748770720,1732748869652,,https://earthquake.usgs.gov/earthquakes/eventpage/nc75091876,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc75091876&format=geojson,,,,,automatic,0,9,nc,75091876,",nc75091876,",",nc,",",nearby-cities,origin,phase-data,",10.0,0.00894,0.02,94.0,md,earthquake,"M 0.8 - 7 km NNW of The Geysers, CA"
1.0,"25 km NNE of Four Mile Road, Alaska",1732748685915,1732749028019,,https://earthquake.usgs.gov/earthquakes/eventpage/ak024f9g5585,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak024f9g5585&format=geojson,,,,,automatic,0,15,ak,024f9g5585,",ak024f9g5585,",",ak,",",origin,phase-data,",,,0.75,,ml,earthquake,"M 1.0 - 25 km NNE of Four Mile Road, Alaska"
